user_id,avatar,last_name,first_name,email,password,role
17677024,https://avatarhub.edu.vn/wp-content/uploads/2025/12/avatar-mac-dinh-cua-fb-4-768x726.jpg,Vinh,KQ,kq@gmail.com,123456,CUSTOMER
17677024,https://avatarhub.edu.vn/wp-content/uploads/2025/12/avatar-mac-dinh-cua-fb-4-768x726.jpg,Vinh,KQ,kq@gmail.com,123456,CUSTOMER
17677024,https://avatarhub.edu.vn/wp-content/uploads/2025/12/avatar-mac-dinh-cua-fb-4-768x726.jpg,Vinh,KQ,kq@gmail.com,123456,CUSTOMER
17677024,https://avatarhub.edu.vn/wp-content/uploads/2025/12/avatar-mac-dinh-cua-fb-4-768x726.jpg,Vinh,KQ,kq@gmail.com,123456,CUSTOMER
17677024,https://avatarhub.edu.vn/wp-content/uploads/2025/12/avatar-mac-dinh-cua-fb-4-768x726.jpg,Vinh,KQ,kq@gmail.com,123456,CUSTOMER
17677024,https://avatarhub.edu.vn/wp-content/uploads/2025/12/avatar-mac-dinh-cua-fb-4-768x726.jpg,Vinh,KQ,kq@gmail.com,123456,CUSTOMER
17677024,https://avatarhub.edu.vn/wp-content/uploads/2025/12/avatar-mac-dinh-cua-fb-4-768x726.jpg,Vinh,KQ,kq@gmail.com,123456,CUSTOMER
17677024,https://avatarhub.edu.vn/wp-content/uploads/2025/12/avatar-mac-dinh-cua-fb-4-768x726.jpg,Vinh,KQ,kq@gmail.com,123456,CUSTOMER
1080817,https://avatarhub.edu.vn/wp-content/uploads/2025/12/avatar-mac-dinh-cua-fb-4-768x726.jpg,Huy,Dương,duong@gmail.com,123456,CUSTOMER
29451093,https://avatarhub.edu.vn/wp-content/uploads/2025/12/avatar-mac-dinh-cua-fb-4-768x726.jpg,Lê,Đăng Hạ,ang.ha@gmail.com,123456,CUSTOMER
34468,https://avatarhub.edu.vn/wp-content/uploads/2025/12/avatar-mac-dinh-cua-fb-4-768x726.jpg,Trương,Nhật Thanh,nhat.thanh@gmail.com,123456,CUSTOMER
